"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"32-16122005-095569";"";
"REFERENCE";"1029-22";"";
"TraceParts.PartTitle";"Sprockets, 12B-1";"";
"TraceParts.InstanceId";"32-16122005-095569EJ3KGNCXAXM37HV07RRF1Z6LS";"";
"SUPPLIER";"NOZAG";"";
"DESIGN";"Sprocket discs, simplex, made of steel, compatible to chain 12B-1 (3/4""x 1/16"" R Ø 12.07 mm)";"";
"TraceParts.PartVersion";"1.3.1";"";
"TraceParts.PartLanguage";"en";"";
